fname	inst_name	target	consumer	has_path
367000path.dat	367000	101	10	False
367000path.dat	367000	101	11	False
367000path.dat	367000	101	12	False
367000path.dat	367000	101	13	False
367000path.dat	367000	102	10	False
367000path.dat	367000	102	11	False
367000path.dat	367000	102	12	False
367000path.dat	367000	102	13	False
367000path.dat	367000	103	10	True
367000path.dat	367000	103	11	True
367000path.dat	367000	103	12	True
367000path.dat	367000	103	13	True
367000path.dat	367000	104	10	False
367000path.dat	367000	104	11	False
367000path.dat	367000	104	12	False
367000path.dat	367000	104	13	False
367000path.dat	367000	105	10	False
367000path.dat	367000	105	11	False
367000path.dat	367000	105	12	False
367000path.dat	367000	105	13	False
367000path.dat	367000	106	10	False
367000path.dat	367000	106	11	False
367000path.dat	367000	106	12	False
367000path.dat	367000	106	13	False
367000path.dat	367000	107	10	True
367000path.dat	367000	107	11	True
367000path.dat	367000	107	12	True
367000path.dat	367000	107	13	True
367000path.dat	367000	108	10	False
367000path.dat	367000	108	11	False
367000path.dat	367000	108	12	False
367000path.dat	367000	108	13	False
367000path.dat	367000	109	10	False
367000path.dat	367000	109	11	False
367000path.dat	367000	109	12	False
367000path.dat	367000	109	13	False
367000path.dat	367000	110	10	False
367000path.dat	367000	110	11	False
367000path.dat	367000	110	12	False
367000path.dat	367000	110	13	False
367000path.dat	367000	111	10	True
367000path.dat	367000	111	11	True
367000path.dat	367000	111	12	True
367000path.dat	367000	111	13	True
367000path.dat	367000	112	10	False
367000path.dat	367000	112	11	False
367000path.dat	367000	112	12	False
367000path.dat	367000	112	13	False
367000path.dat	367000	113	10	True
367000path.dat	367000	113	11	True
367000path.dat	367000	113	12	True
367000path.dat	367000	113	13	True
367000path.dat	367000	114	10	False
367000path.dat	367000	114	11	False
367000path.dat	367000	114	12	False
367000path.dat	367000	114	13	False
367000path.dat	367000	115	10	False
367000path.dat	367000	115	11	False
367000path.dat	367000	115	12	False
367000path.dat	367000	115	13	False
367000path.dat	367000	116	10	False
367000path.dat	367000	116	11	False
367000path.dat	367000	116	12	False
367000path.dat	367000	116	13	False
367000path.dat	367000	117	10	True
367000path.dat	367000	117	11	True
367000path.dat	367000	117	12	True
367000path.dat	367000	117	13	True
367000path.dat	367000	118	10	False
367000path.dat	367000	118	11	False
367000path.dat	367000	118	12	False
367000path.dat	367000	118	13	False
367000path.dat	367000	119	10	False
367000path.dat	367000	119	11	False
367000path.dat	367000	119	12	False
367000path.dat	367000	119	13	False
367000path.dat	367000	120	10	False
367000path.dat	367000	120	11	False
367000path.dat	367000	120	12	False
367000path.dat	367000	120	13	False
915000path.dat	915000	101	7	False
915000path.dat	915000	102	7	True
915000path.dat	915000	103	7	False
915000path.dat	915000	104	7	False
915000path.dat	915000	105	7	False
915000path.dat	915000	106	7	False
915000path.dat	915000	107	7	False
915000path.dat	915000	108	7	False
915000path.dat	915000	109	7	False
623000path.dat	623000	101	7	False
623000path.dat	623000	101	8	False
623000path.dat	623000	102	7	True
623000path.dat	623000	102	8	True
623000path.dat	623000	103	7	False
623000path.dat	623000	103	8	False
623000path.dat	623000	104	7	False
623000path.dat	623000	104	8	False
623000path.dat	623000	105	7	False
623000path.dat	623000	105	8	False
623000path.dat	623000	106	7	True
623000path.dat	623000	106	8	True
623000path.dat	623000	107	7	False
623000path.dat	623000	107	8	False
623000path.dat	623000	108	7	False
623000path.dat	623000	108	8	False
615000path.dat	615000	101	5	False
615000path.dat	615000	101	6	False
615000path.dat	615000	102	5	False
615000path.dat	615000	102	6	False
615000path.dat	615000	103	5	False
615000path.dat	615000	103	6	False
615000path.dat	615000	104	5	False
615000path.dat	615000	104	6	False
615000path.dat	615000	105	5	False
615000path.dat	615000	105	6	False
615000path.dat	615000	106	5	False
615000path.dat	615000	106	6	False
615000path.dat	615000	107	5	False
615000path.dat	615000	107	6	False
615000path.dat	615000	108	5	False
615000path.dat	615000	108	6	False
222000path.dat	222000	101	11	False
222000path.dat	222000	101	12	False
222000path.dat	222000	102	11	False
222000path.dat	222000	102	12	False
222000path.dat	222000	103	11	False
222000path.dat	222000	103	12	False
222000path.dat	222000	104	11	True
222000path.dat	222000	104	12	True
222000path.dat	222000	105	11	False
222000path.dat	222000	105	12	False
222000path.dat	222000	106	11	False
222000path.dat	222000	106	12	False
222000path.dat	222000	107	11	False
222000path.dat	222000	107	12	False
222000path.dat	222000	108	11	False
222000path.dat	222000	108	12	False
222000path.dat	222000	109	11	False
222000path.dat	222000	109	12	False
222000path.dat	222000	110	11	True
222000path.dat	222000	110	12	True
222000path.dat	222000	111	11	True
222000path.dat	222000	111	12	True
222000path.dat	222000	112	11	False
222000path.dat	222000	112	12	False
222000path.dat	222000	113	11	False
222000path.dat	222000	113	12	False
222000path.dat	222000	114	11	True
222000path.dat	222000	114	12	True
222000path.dat	222000	115	11	True
222000path.dat	222000	115	12	True
222000path.dat	222000	116	11	False
222000path.dat	222000	116	12	False
