fname	inst_name	load_time	path_time	modeling_time	solving	time
778000time.dat	778000	0.03	0.0	0.82	0.09
681000time.dat	681000	0.03	0.0	0.37	0.04
891000time.dat	891000	0.05	0.0	1.25	0.15
306000time.dat	306000	0.04	0.0	1.28	0.1
152000time.dat	152000	0.09	0.01	4.51	0.62
351000time.dat	351000	0.07	0.0	2.24	0.23
874000time.dat	874000	0.03	0.0	1.09	0.13
623000time.dat	623000	0.01	0.0	0.3	0.04
644000time.dat	644000	0.04	0.0	0.85	0.1
235000time.dat	235000	0.13	0.01	1.85	0.12
615000time.dat	615000	0.02	0.0	0.47	0.04
601000time.dat	601000	0.03	0.0	0.77	0.07
837000time.dat	837000	0.04	0.0	1.0	0.11
826000time.dat	826000	0.04	0.0	1.09	0.11
177000time.dat	177000	0.09	0.01	2.94	0.34
694000time.dat	694000	0.03	0.0	1.48	0.15
540000time.dat	540000	0.05	0.0	0.34	0.03
222000time.dat	222000	0.07	0.0	2.55	0.23
915000time.dat	915000	0.02	0.0	0.4	0.03
187000time.dat	187000	0.05	0.0	0.77	0.1
458000time.dat	458000	0.11	0.01	2.11	0.2
295000time.dat	295000	0.08	0.0	2.79	0.26
754000time.dat	754000	0.02	0.0	0.25	0.02
551000time.dat	551000	0.09	0.01	2.44	0.28
340000time.dat	340000	0.09	0.0	1.99	0.2
719000time.dat	719000	0.01	0.0	0.2	0.01
379000time.dat	379000	0.12	0.01	5.53	0.5
904000time.dat	904000	0.02	0.0	0.52	0.05
504000time.dat	504000	0.11	0.01	3.2	0.37
422000time.dat	422000	0.07	0.01	2.89	0.31
142000time.dat	142000	0.6	0.08	30.11	2.88
367000time.dat	367000	0.1	0.01	2.99	0.38
814000time.dat	814000	0.05	0.01	1.65	0.21
767000time.dat	767000	0.02	0.0	0.88	0.07
469000time.dat	469000	0.07	0.0	1.91	0.16
706000time.dat	706000	0.03	0.0	1.03	0.09
861000time.dat	861000	0.03	0.0	1.05	0.1
268000time.dat	268000	0.09	0.0	2.19	0.15
413000time.dat	413000	0.29	0.05	13.99	1.74
634000time.dat	634000	0.04	0.0	1.15	0.14
