fname	inst_name	time	from_to	item	amount
719000solu.dat	719000	0->1	102->1	(102,	pic)	1.7
719000solu.dat	719000	0->1	102->1	(102,	vid)	2222.23
719000solu.dat	719000	0->1	105->4	(105,	vid)	2222.23
719000solu.dat	719000	1->2	102->1	(102,	vid)	2222.23
719000solu.dat	719000	1->2	105->4	(105,	pic)	1.7
719000solu.dat	719000	1->2	105->4	(105,	vid)	2222.23
719000solu.dat	719000	2->3	102->1	(102,	vid)	2222.23
719000solu.dat	719000	4->5	102->1	(102,	vid)	2222.23
719000solu.dat	719000	4->5	105->4	(105,	vid)	2222.23
719000solu.dat	719000	4->5	1->5	(102,	pic)	1.7
719000solu.dat	719000	4->5	4->5	(105,	pic)	1.7
719000solu.dat	719000	5->6	102->1	(102,	vid)	2222.23
719000solu.dat	719000	5->6	105->4	(105,	vid)	2222.23
719000solu.dat	719000	5->6	1->5	(102,	vid)	115.2
719000solu.dat	719000	6->7	105->4	(105,	vid)	2222.23
719000solu.dat	719000	6->7	1->5	(102,	vid)	115.2
719000solu.dat	719000	19->20	1->7	(102,	vid)	10880.73
719000solu.dat	719000	19->20	4->7	(105,	vid)	11111.13
719000solu.dat	719000	19->20	5->6	(102,	pic)	1.7
719000solu.dat	719000	19->20	5->7	(102,	vid)	230.4
719000solu.dat	719000	19->20	5->7	(105,	pic)	1.7
601000solu.dat	No contents!
504000solu.dat	504000	0->1	102->7	(102,	vid)	2222.23
504000solu.dat	504000	0->1	103->4	(103,	vid)	2222.23
504000solu.dat	504000	0->1	108->3	(108,	vid)	2222.23
504000solu.dat	504000	0->1	109->2	(109,	vid)	2222.23
504000solu.dat	504000	0->1	113->6	(113,	vid)	2222.23
504000solu.dat	504000	0->1	114->6	(114,	vid)	2222.23
504000solu.dat	504000	0->1	115->1	(115,	vid)	2222.23
504000solu.dat	504000	0->1	121->5	(121,	vid)	2222.23
504000solu.dat	504000	1->2	102->7	(102,	vid)	2222.23
504000solu.dat	504000	1->2	108->3	(108,	vid)	2222.23
504000solu.dat	504000	1->2	113->6	(113,	vid)	2222.23
504000solu.dat	504000	1->2	114->6	(114,	vid)	2222.23
504000solu.dat	504000	1->2	115->1	(115,	vid)	2222.23
504000solu.dat	504000	1->2	118->1	(118,	vid)	115.2
504000solu.dat	504000	1->2	121->5	(121,	vid)	2222.23
504000solu.dat	504000	2->3	102->7	(102,	vid)	2222.23
504000solu.dat	504000	2->3	108->3	(108,	vid)	2222.23
